,Id,MSSubClass,LotArea,OverallQual,OverallCond,YearBuilt,YearRemodAdd,BsmtFinSF1,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,TotRmsAbvGrd,Fireplaces,GarageCars,GarageArea,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,MiscVal,MoSold,YrSold,pred_price
859,860,60,11029,6,7,1968,1984,619,0,435,1054,1512,1142,0,2654,1,0,2,1,4,1,9,1,2,619,0,65,0,0,222,0,0,8,2006,187500.0
224,225,20,13472,10,5,2003,2003,56,0,2336,2392,2392,0,0,2392,0,0,2,0,3,1,8,1,3,968,248,105,0,0,0,0,0,6,2009,466500.0
356,357,20,9248,6,6,1992,1992,560,0,598,1158,1167,0,0,1167,1,0,2,0,3,1,6,0,2,400,120,26,0,0,0,0,0,7,2009,173000.0
827,828,20,8529,7,5,2001,2001,20,0,1434,1454,1434,0,0,1434,0,0,2,0,3,1,6,1,2,527,290,39,0,0,0,0,0,4,2009,192000.0
1393,1394,190,10800,6,7,1905,2000,0,0,482,482,1221,691,0,1912,0,0,2,0,3,2,7,1,2,672,0,25,212,0,0,0,0,4,2008,136900.0
1044,1045,20,9600,8,5,1981,1981,1104,0,1420,2524,2524,0,0,2524,1,0,2,1,4,1,9,1,2,542,474,120,0,0,0,0,0,7,2009,402000.0
1385,1386,50,5436,4,8,1922,2007,735,0,61,796,796,358,0,1154,1,0,1,0,3,1,7,0,1,240,0,96,0,0,0,0,0,5,2010,129000.0
665,666,60,11194,8,5,2000,2000,0,0,1406,1406,1454,482,0,1936,0,0,2,1,3,1,7,1,2,504,188,124,0,0,0,0,0,11,2006,239500.0
648,649,60,7700,6,5,1966,1966,0,0,756,756,1051,788,0,1839,0,0,1,1,4,1,7,1,2,442,0,124,216,0,0,0,0,6,2010,167500.0
986,987,50,5310,6,8,1910,2003,0,0,485,485,1001,634,0,1635,0,0,1,0,2,1,5,0,1,255,394,0,0,0,0,0,0,6,2006,137500.0
1018,1019,80,10784,7,5,1991,1992,0,0,384,384,802,670,0,1472,0,0,2,1,3,1,7,1,2,402,164,0,0,0,0,0,0,5,2007,170000.0
1172,1173,160,4017,7,5,2006,2007,0,0,625,625,625,625,0,1250,0,0,2,1,2,1,5,0,2,625,0,54,0,0,0,0,0,3,2008,164700.0
376,377,85,8846,5,5,1996,1996,298,0,572,870,914,0,0,914,0,0,1,0,2,1,5,0,2,576,0,0,0,0,0,0,0,7,2006,131000.0
116,117,20,11616,5,5,1962,1962,170,670,252,1092,1092,0,0,1092,0,1,1,0,3,1,6,1,1,288,0,20,144,0,0,0,0,9,2009,157000.0
446,447,20,16492,6,6,1966,2002,247,713,557,1517,1888,0,0,1888,0,0,2,1,2,1,6,1,2,578,0,0,0,0,0,0,0,6,2010,221000.0
560,561,20,11341,5,6,1957,1996,1302,0,90,1392,1392,0,0,1392,1,0,1,1,3,1,5,1,2,528,0,0,0,0,95,0,0,5,2010,170000.0
885,886,120,5119,9,5,1999,2000,1238,0,460,1698,1709,0,0,1709,1,0,2,0,2,1,5,1,2,506,97,65,0,0,0,0,0,1,2008,370878.0
411,412,190,34650,5,5,1955,1955,1056,0,0,1056,1056,0,0,1056,1,0,1,0,3,1,5,0,2,572,264,0,0,0,0,0,0,1,2006,132500.0
1247,1248,80,12328,6,5,1976,1976,539,0,473,1012,1034,0,0,1034,1,0,1,0,3,1,6,0,3,888,0,0,0,0,0,0,0,5,2010,155000.0
708,709,60,9018,7,5,2007,2007,0,0,728,728,728,728,0,1456,0,0,2,1,3,1,8,1,2,400,100,24,0,0,0,0,0,7,2007,170000.0
556,557,20,14850,5,5,1957,1957,895,0,197,1092,1092,0,0,1092,1,0,1,0,2,1,6,1,1,299,268,0,0,0,122,0,0,5,2006,159950.0
42,43,85,9180,5,7,1983,1983,747,93,0,840,884,0,0,884,1,0,1,0,2,1,5,0,2,504,240,0,0,0,0,0,0,12,2007,149900.0
1459,1460,20,9937,5,6,1965,1965,830,290,136,1256,1256,0,0,1256,1,0,1,1,3,1,6,0,1,276,736,68,0,0,0,0,0,6,2008,84500.0
159,160,60,19378,7,5,2005,2006,57,0,1335,1392,1392,1070,0,2462,1,0,2,1,4,1,9,1,2,576,239,132,0,168,0,0,0,3,2006,328000.0
372,373,120,7175,6,5,1984,1984,623,121,0,744,752,0,0,752,1,0,1,0,2,1,4,0,1,264,353,0,0,0,90,0,0,2,2010,120000.0
1048,1049,20,21750,5,4,1960,2006,0,0,0,0,1771,0,0,1771,0,0,1,0,3,1,9,1,2,336,0,0,0,0,0,0,0,11,2009,144000.0
286,287,50,9786,6,7,1962,1981,600,0,312,912,1085,649,0,1734,0,0,1,1,3,1,7,1,2,440,0,0,0,0,128,0,0,6,2006,178000.0
1060,1061,120,4920,8,5,2001,2001,616,0,722,1338,1338,0,0,1338,1,0,2,0,2,1,6,0,2,582,0,0,170,0,0,0,0,4,2010,201000.0
590,591,60,8320,7,5,2004,2004,490,0,280,770,770,812,0,1582,0,0,2,1,3,1,6,0,2,520,0,45,0,0,0,0,0,9,2008,173000.0
562,563,30,13907,5,6,1940,1969,290,0,706,996,996,0,0,996,1,0,1,0,3,1,6,1,0,0,144,0,0,0,0,0,0,7,2008,122000.0
1224,1225,60,15384,7,5,2004,2005,724,0,64,788,788,702,0,1490,1,0,2,1,3,1,8,1,2,388,100,75,0,0,0,0,0,2,2008,180000.0
941,942,60,8755,7,5,1999,1999,772,0,220,992,1022,1038,0,2060,1,0,2,1,3,1,8,1,2,390,0,0,0,168,0,0,0,6,2009,236000.0
1077,1078,20,15870,5,5,1969,1969,75,791,230,1096,1096,0,0,1096,1,0,1,0,3,1,6,0,1,299,240,32,0,0,0,0,0,3,2006,138500.0
1352,1353,50,6000,6,9,1937,2000,0,0,698,698,786,390,0,1176,0,0,1,0,2,1,4,0,2,624,210,0,0,0,0,0,0,7,2009,110500.0
162,163,20,12182,7,5,2005,2005,1201,0,340,1541,1541,0,0,1541,0,0,2,0,3,1,7,1,2,532,0,70,0,0,0,0,0,5,2010,224900.0
1244,1245,70,11435,8,7,1929,1950,0,0,792,792,792,725,0,1517,0,0,1,0,3,1,7,2,2,400,0,0,0,0,0,0,0,6,2006,168000.0
944,945,20,14375,6,6,1958,1958,111,354,354,819,1344,0,0,1344,0,1,1,0,3,1,7,1,2,525,0,118,0,0,233,0,0,1,2009,166000.0
824,825,20,11216,8,5,2006,2006,0,0,1489,1489,1489,0,0,1489,0,0,2,0,3,1,7,1,2,776,0,140,0,0,0,0,0,6,2006,225000.0
1037,1038,60,9240,8,5,2001,2002,0,0,1055,1055,1055,1208,0,2263,0,0,2,1,3,1,7,1,2,905,0,45,0,0,189,0,0,9,2008,237000.0
49,50,20,7742,5,7,1966,1966,763,0,192,955,955,0,0,955,1,0,1,0,3,1,6,0,1,386,0,0,0,0,0,0,0,1,2007,116500.0
1257,1258,30,4060,5,8,1922,1950,0,0,864,864,864,0,0,864,0,0,1,0,2,1,4,0,0,0,0,96,0,0,0,0,0,7,2009,86000.0
775,776,120,4500,6,5,1998,1998,866,0,338,1204,1204,0,0,1204,1,0,2,0,2,1,5,0,2,412,0,247,0,0,0,0,0,6,2009,165000.0
748,749,20,10593,7,5,1996,1996,919,0,801,1720,1720,0,0,1720,1,0,2,0,3,1,7,1,2,527,240,56,154,0,0,0,0,3,2010,200000.0
523,524,60,40094,10,5,2007,2008,2260,0,878,3138,3138,1538,0,4676,1,0,3,1,3,1,11,1,3,884,208,406,0,0,0,0,0,10,2007,438780.0
88,89,50,8470,3,2,1915,1982,0,0,1013,1013,1013,0,513,1526,0,0,1,0,2,1,6,0,0,0,0,0,156,0,0,0,0,10,2009,60000.0
829,830,160,2544,7,5,2005,2005,0,0,600,600,520,623,80,1223,0,0,2,1,2,1,4,0,2,480,0,166,0,0,0,0,0,7,2006,173733.0
40,41,20,8658,6,5,1965,1965,643,0,445,1088,1324,0,0,1324,0,0,2,0,3,1,6,1,2,440,0,138,0,0,0,0,0,12,2006,167000.0
1175,1176,50,10678,8,5,1992,2000,700,0,983,1683,2129,743,0,2872,0,0,2,1,4,1,9,1,2,541,0,33,0,0,0,0,0,4,2007,423000.0
271,272,20,39104,7,7,1954,2005,226,1063,96,1385,1363,0,0,1363,1,0,1,0,2,1,5,2,2,439,81,0,0,0,0,0,0,4,2008,187500.0
143,144,20,10335,7,5,1999,1999,679,0,811,1490,1501,0,0,1501,1,0,2,0,3,1,6,0,2,577,144,29,0,0,0,0,0,6,2009,205000.0
289,290,70,8730,6,7,1915,2003,0,0,698,698,698,698,0,1396,0,0,1,0,3,1,7,0,1,384,0,0,0,0,259,0,0,7,2007,149500.0
1170,1171,80,9880,6,6,1977,1977,522,0,574,1096,1118,0,0,1118,1,0,1,0,3,1,6,1,1,358,203,0,0,0,0,576,0,7,2008,127500.0
1429,1430,20,12546,6,7,1981,1981,678,0,762,1440,1440,0,0,1440,0,0,2,0,3,1,7,1,2,467,0,0,99,0,0,0,0,4,2007,175500.0
567,568,20,10171,7,5,2004,2004,2,0,1515,1517,1535,0,0,1535,0,0,2,0,3,1,7,0,2,532,0,0,0,0,0,0,0,3,2010,181000.0
461,462,70,7200,7,9,1936,2007,350,210,0,560,575,560,0,1135,1,0,1,0,3,1,6,0,2,576,256,0,0,0,0,0,0,4,2009,105900.0
1308,1309,20,12000,5,7,1948,2005,144,608,172,924,1122,0,0,1122,1,0,1,0,2,1,6,0,2,528,0,36,0,0,0,0,0,5,2008,120000.0
718,719,60,10542,7,5,1993,1994,1173,0,138,1311,1325,1093,0,2418,1,0,2,1,3,1,9,1,3,983,250,154,216,0,0,0,0,8,2008,265000.0
284,285,120,8012,6,5,1992,1992,430,0,1145,1575,1575,0,0,1575,1,0,2,0,2,1,5,0,2,529,0,0,52,0,0,0,0,7,2007,175000.0
862,863,20,9672,6,5,1984,1985,338,0,702,1040,1097,0,0,1097,0,0,2,0,3,1,6,0,2,480,0,0,0,0,0,0,0,5,2010,148800.0
1205,1206,20,14684,7,7,1990,1991,485,177,1496,2158,2196,0,0,2196,0,0,2,0,3,1,7,1,3,701,84,70,0,0,0,0,0,6,2009,335000.0
452,453,60,9303,6,5,1996,1997,742,0,130,872,888,868,0,1756,1,0,2,1,3,1,7,0,2,422,144,122,0,0,0,0,0,7,2007,201000.0
1051,1052,20,11175,7,5,2007,2007,0,0,1316,1316,1316,0,0,1316,0,0,2,0,3,1,6,1,2,440,0,20,0,0,0,0,0,10,2007,176432.0
106,107,30,10800,4,7,1885,1995,0,0,641,641,1047,0,0,1047,0,0,1,0,2,1,6,0,1,273,0,0,0,0,0,0,450,8,2007,108000.0
1316,1317,20,10226,8,5,2008,2008,0,0,1622,1622,1630,0,0,1630,1,0,2,0,3,1,8,1,3,860,172,42,0,0,0,0,0,1,2009,227000.0
1379,1380,80,9735,5,5,2006,2007,0,0,384,384,754,640,0,1394,0,0,2,1,3,1,7,0,2,400,100,0,0,0,0,0,0,5,2008,120000.0
916,917,20,9000,2,3,1949,1950,50,0,430,480,480,0,0,480,1,0,0,0,1,1,4,0,1,308,0,0,0,0,0,0,0,10,2006,84500.0
597,598,120,3922,7,5,2006,2007,0,0,1258,1258,1402,0,0,1402,0,2,0,2,2,1,7,1,3,648,120,16,0,0,0,0,0,2,2007,172500.0
1123,1124,20,9405,5,9,1947,2008,0,0,698,698,698,0,0,698,0,1,1,0,2,1,4,0,0,0,0,200,0,0,0,0,0,6,2009,109000.0
1309,1310,20,7153,6,5,1991,1991,1200,0,78,1278,1294,0,0,1294,1,0,2,0,3,1,6,0,2,496,112,51,0,0,0,0,0,6,2008,153500.0
1058,1059,60,11308,9,5,2008,2008,936,0,168,1104,1130,1054,0,2184,1,0,2,1,3,1,10,1,3,836,0,102,0,0,0,0,0,7,2009,310000.0
854,855,20,17920,5,4,1955,1974,306,1085,372,1763,1779,0,0,1779,1,0,1,1,3,1,6,1,2,454,0,418,0,0,312,0,0,7,2006,180000.0
721,722,120,4426,6,5,2004,2004,662,0,186,848,848,0,0,848,1,0,1,0,1,1,3,0,2,420,160,0,0,0,0,0,0,5,2010,140000.0
813,814,20,9750,6,6,1958,1958,608,0,834,1442,1442,0,0,1442,0,0,1,1,4,1,7,0,1,301,0,0,275,0,0,0,500,4,2007,145250.0
93,94,190,7200,6,6,1910,1998,1046,0,168,1214,1260,1031,0,2291,0,1,2,0,4,2,9,1,2,506,0,0,0,0,99,0,0,11,2007,240000.0
470,471,120,6820,8,5,1985,1985,368,1120,0,1488,1502,0,0,1502,1,0,1,1,1,1,4,0,2,528,0,54,0,0,140,0,0,6,2010,209500.0
608,609,70,12168,8,6,1934,1998,428,0,537,965,1940,1254,0,3194,0,0,2,1,4,1,10,2,2,380,0,0,0,0,0,0,0,9,2007,315000.0
1055,1056,20,11361,6,5,1976,1976,644,0,549,1193,1523,0,0,1523,0,1,2,0,3,1,7,1,2,478,0,0,0,0,189,0,0,5,2008,163500.0
406,407,50,10480,6,5,1936,1950,0,0,1064,1064,1166,0,473,1639,0,0,1,0,3,1,6,0,1,240,0,0,0,0,0,0,0,3,2008,152000.0
100,101,20,10603,6,7,1977,2001,1200,0,410,1610,1610,0,0,1610,1,0,2,0,3,1,6,2,2,480,168,68,0,0,0,0,0,2,2010,196000.0
66,67,20,19900,7,5,1970,1989,912,0,1035,1947,2207,0,0,2207,1,0,2,0,3,1,7,1,2,576,301,0,0,0,0,0,0,7,2010,239000.0
1443,1444,30,8854,6,6,1916,1950,0,0,952,952,952,0,0,952,0,0,1,0,2,1,4,1,1,192,0,98,0,0,40,0,0,5,2009,124000.0
525,526,20,7500,7,5,2005,2005,0,0,1257,1257,1266,0,0,1266,0,0,2,0,3,1,6,1,2,453,38,144,0,0,0,0,0,4,2006,202665.0
1136,1137,50,9600,6,5,1950,1950,280,0,752,1032,1032,220,0,1252,0,0,1,0,3,1,6,0,1,288,0,0,96,0,0,0,0,4,2008,99500.0
614,615,180,1491,4,6,1972,1972,150,480,0,630,630,0,0,630,1,0,1,0,1,1,3,0,0,0,96,24,0,0,0,0,0,5,2010,84500.0
313,314,20,215245,7,5,1965,1965,1236,820,80,2136,2036,0,0,2036,2,0,2,0,3,1,8,2,2,513,0,0,0,0,0,0,0,6,2009,250000.0
415,416,20,8899,7,5,2007,2007,24,0,1316,1340,1340,0,0,1340,0,0,2,0,3,1,6,0,2,396,100,30,0,0,0,0,0,8,2007,176432.0
1428,1429,30,7200,5,7,1940,1992,510,0,278,788,804,0,0,804,1,0,1,0,2,1,4,2,1,240,0,0,154,0,0,0,0,2,2010,160000.0
1298,1299,60,63887,10,5,2008,2008,5644,0,466,6110,4692,950,0,5642,2,0,2,1,3,1,12,3,2,1418,214,292,0,0,0,480,0,1,2008,582933.0
586,587,30,10267,6,7,1918,2000,210,606,0,816,838,0,0,838,1,0,1,0,2,1,5,0,1,275,0,0,112,0,0,0,0,5,2008,151500.0
1177,1178,50,3950,6,8,1926,2004,468,0,350,818,818,406,0,1224,0,0,1,0,3,1,5,0,1,210,0,0,116,0,0,0,0,12,2009,113000.0
730,731,120,5389,8,5,1995,1996,1180,0,415,1595,1616,0,0,1616,1,0,2,0,2,1,5,1,2,608,237,152,0,0,0,0,0,3,2010,262000.0
1027,1028,20,9520,8,5,2007,2008,1513,0,125,1638,1646,0,0,1646,1,0,2,0,3,1,7,1,3,800,192,44,0,0,0,0,0,4,2008,264561.0
541,542,60,11000,8,5,2000,2000,0,0,969,969,997,1288,0,2285,0,0,2,1,4,1,8,1,3,648,0,56,0,0,0,0,0,6,2007,290000.0
655,656,160,1680,6,5,1971,1971,0,0,525,525,525,567,0,1092,0,0,1,1,3,1,6,0,1,264,0,0,0,0,0,0,0,3,2010,118000.0
1094,1095,20,5868,5,7,1956,2000,248,240,448,936,936,0,0,936,1,0,1,0,2,1,4,0,1,308,0,0,80,0,160,0,0,5,2010,90350.0
757,758,60,11616,6,5,1978,1978,438,0,234,672,672,714,0,1386,0,0,2,1,3,1,6,1,2,440,335,0,0,0,0,0,0,4,2010,155000.0
2,3,60,11250,7,5,2001,2002,486,0,434,920,920,866,0,1786,1,0,2,1,3,1,6,1,2,608,0,42,0,0,0,0,0,9,2008,224900.0
716,717,70,10800,7,8,1890,1998,0,0,718,718,1576,978,0,2554,0,0,1,1,3,1,8,0,2,704,0,48,143,0,0,0,0,7,2007,117500.0
157,158,60,12003,8,5,2009,2010,0,0,774,774,774,1194,0,1968,0,0,2,1,4,1,8,1,3,680,0,75,0,0,0,0,0,5,2010,252000.0
1078,1079,120,4435,6,5,2004,2004,662,0,186,848,848,0,0,848,1,0,1,0,1,1,3,1,2,420,140,0,0,0,0,0,0,5,2006,144500.0
448,449,50,8600,6,6,1937,1950,0,0,780,780,780,596,0,1376,0,0,2,0,3,1,7,1,1,198,0,0,0,0,0,0,0,6,2006,99500.0
344,345,160,2592,5,3,1976,1976,129,232,175,536,536,576,0,1112,0,0,1,1,3,1,4,0,1,336,182,0,0,0,0,0,0,4,2010,115000.0
419,420,20,8450,5,6,1968,1968,775,0,281,1056,1056,0,0,1056,1,0,1,0,3,1,6,1,1,304,0,85,184,0,0,0,0,7,2010,164500.0
724,725,20,13286,9,5,2007,2008,1234,0,464,1698,1698,0,0,1698,1,0,2,0,3,1,8,1,3,768,327,64,0,0,0,0,0,2,2009,285000.0
747,748,70,11700,7,7,1880,2003,0,0,1240,1240,1320,1320,0,2640,0,0,1,1,4,1,8,1,4,864,181,0,386,0,0,0,0,5,2009,280000.0
155,156,50,9600,6,5,1924,1950,0,0,572,572,572,524,0,1096,0,0,1,0,2,1,5,0,0,0,0,8,128,0,0,0,0,4,2008,113000.0
202,203,50,7000,6,6,1924,1950,617,0,0,617,865,445,0,1310,0,0,2,0,2,1,6,0,1,398,0,0,126,0,0,0,0,5,2006,105900.0
227,228,160,1869,6,6,1970,1970,321,0,162,483,483,504,0,987,0,0,1,1,2,1,5,0,1,280,0,0,0,0,0,0,0,9,2008,89500.0
272,273,60,11764,8,7,1999,2007,524,0,628,1152,1164,1106,0,2270,0,0,2,1,4,1,9,1,3,671,132,57,0,0,0,0,0,4,2010,252000.0
20,21,60,14215,8,5,2005,2006,0,0,1158,1158,1158,1218,0,2376,0,0,3,1,4,1,9,1,3,853,240,154,0,0,0,0,0,11,2006,275500.0
641,642,60,7050,7,5,2001,2001,738,0,319,1057,1057,872,0,1929,1,0,2,1,3,1,7,1,2,650,0,235,0,0,0,0,0,5,2007,253000.0
934,935,20,27650,7,7,1960,2007,425,0,160,585,2069,0,0,2069,1,0,2,0,4,1,9,1,2,505,0,0,0,0,0,0,0,11,2008,191000.0
1361,1362,20,16158,7,5,2005,2005,1274,0,256,1530,1530,0,0,1530,1,0,2,0,3,1,7,1,2,430,168,36,0,0,0,0,0,6,2009,215000.0
1127,1128,20,14572,7,5,2004,2004,1300,0,230,1530,1530,0,0,1530,1,0,2,0,3,1,7,1,3,630,144,36,0,0,0,0,0,11,2007,234000.0
1108,1109,60,8063,6,5,2000,2000,0,0,924,924,948,742,0,1690,0,0,2,1,3,1,7,1,2,463,100,48,0,0,0,0,0,11,2007,189000.0
274,275,20,8314,5,7,1982,1982,546,0,270,816,816,0,0,816,0,0,1,0,2,1,5,0,1,264,168,0,0,0,0,0,0,6,2007,128500.0
232,233,160,1680,6,5,1972,1972,0,0,483,483,483,504,0,987,0,0,1,1,2,1,5,1,1,288,0,0,0,0,0,0,0,6,2006,83000.0
1185,1186,50,9738,5,7,1924,1950,392,0,392,784,949,272,0,1221,1,0,1,0,4,1,7,0,1,392,0,0,236,0,0,0,0,3,2006,62383.0
183,184,50,11426,7,5,2003,2003,0,0,1362,1362,1362,720,0,2082,0,0,2,1,3,1,6,0,2,484,280,238,0,0,0,0,0,6,2008,295000.0
1395,1396,60,12665,8,5,2005,2006,0,0,1094,1094,1133,1349,0,2482,0,0,2,1,4,1,9,1,3,642,144,39,0,0,0,0,0,2,2007,309000.0
1197,1198,75,8850,7,6,1916,1950,0,0,815,815,815,875,0,1690,0,0,1,0,3,1,7,1,1,225,0,0,330,0,0,0,0,7,2006,140000.0
572,573,60,13159,7,5,2009,2009,0,0,846,846,846,846,0,1692,0,0,2,1,3,1,6,0,2,650,208,114,0,0,0,0,0,7,2009,204750.0
782,783,20,16285,7,5,2001,2002,0,0,1413,1413,1430,0,0,1430,0,0,2,0,3,1,6,0,2,605,0,33,0,0,0,0,0,6,2009,158000.0
599,600,160,1950,6,6,1980,1980,81,612,23,716,716,840,0,1556,1,0,2,1,3,1,6,1,2,452,161,0,0,0,0,0,0,7,2008,259500.0
508,509,70,9600,7,9,1928,2005,141,0,548,689,689,689,0,1378,0,0,2,0,3,1,7,1,2,360,0,0,116,0,0,0,0,10,2008,127000.0
486,487,20,10289,5,7,1965,1965,836,0,237,1073,1073,0,0,1073,1,0,1,1,3,1,6,0,2,515,0,0,0,0,0,0,0,6,2007,140000.0
958,959,20,8450,7,5,2003,2003,699,0,638,1337,1337,0,0,1337,1,0,2,0,3,1,6,0,2,531,0,39,0,0,0,0,0,10,2007,184900.0
543,544,120,4058,7,5,1998,1998,584,139,0,723,767,0,0,767,1,0,1,0,1,1,4,0,1,367,120,40,0,0,0,0,0,6,2007,113000.0
92,93,30,13360,5,7,1921,2006,713,0,163,876,964,0,0,964,1,0,1,0,2,1,5,0,2,432,0,0,44,0,0,0,0,8,2009,119000.0
412,413,20,4403,7,5,2009,2009,578,0,892,1470,1478,0,0,1478,1,0,2,1,2,1,7,1,2,484,0,144,0,0,0,0,0,6,2010,207500.0
1021,1022,20,7406,7,5,2006,2006,684,0,515,1199,1220,0,0,1220,1,0,2,0,2,1,6,0,2,632,105,54,0,0,0,0,0,7,2006,185000.0
1256,1257,20,14303,8,5,1994,1994,1314,0,672,1986,1987,0,0,1987,1,0,2,0,2,1,7,1,2,691,262,36,0,0,0,0,0,8,2008,253293.0
245,246,20,10400,7,5,1988,1988,929,0,916,1845,1872,0,0,1872,0,1,2,0,3,1,6,1,2,604,197,39,0,0,0,0,0,6,2006,239000.0
403,404,60,12090,8,5,1998,1998,0,0,1141,1141,1165,1098,0,2263,0,0,2,1,4,1,10,1,2,420,144,123,0,0,0,0,0,7,2006,255900.0
723,724,50,8172,4,6,1954,1972,0,0,941,941,997,473,0,1470,0,0,2,0,4,1,7,0,1,548,0,0,0,0,156,0,0,5,2008,122500.0
192,193,20,9017,7,5,1999,1999,560,0,871,1431,1431,0,0,1431,1,0,2,0,3,1,6,0,2,666,0,35,0,0,0,0,0,9,2009,175500.0
1092,1093,50,8400,6,5,1925,1950,423,0,758,1181,1390,304,0,1694,0,0,2,0,4,1,7,1,2,576,342,0,128,0,0,0,0,6,2008,149500.0
361,362,50,9144,5,5,1940,1982,399,0,484,883,988,517,0,1505,1,0,1,0,3,1,8,0,1,240,0,0,0,0,0,0,0,7,2008,115000.0
201,202,20,10125,6,6,1977,1977,641,279,276,1196,1279,0,0,1279,0,1,2,0,3,1,6,2,2,473,238,83,0,0,0,0,0,2,2008,168500.0
67,68,20,10665,7,5,2003,2003,1013,0,440,1453,1479,0,0,1479,1,0,2,0,3,1,7,0,2,558,144,29,0,0,0,0,0,6,2007,158000.0
779,780,90,10530,6,5,1977,1977,975,0,0,975,1004,0,0,1004,1,0,1,0,2,1,4,0,2,504,0,0,0,0,0,0,0,5,2006,144000.0
256,257,60,8791,6,5,2003,2003,503,0,361,864,864,864,0,1728,0,0,2,1,3,1,7,0,2,673,216,56,0,0,0,0,0,5,2008,204750.0
1415,1416,120,3635,7,5,2007,2007,988,0,398,1386,1569,0,0,1569,0,1,2,0,1,1,7,1,3,660,143,20,0,0,0,0,0,5,2009,248328.0
528,529,30,9098,4,7,1920,2002,348,0,180,528,605,0,0,605,1,0,1,0,2,1,5,0,0,0,0,0,144,0,0,0,0,7,2007,80000.0
