,Id,MSSubClass,LotArea,OverallQual,OverallCond,YearBuilt,YearRemodAdd,BsmtFinSF1,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,TotRmsAbvGrd,Fireplaces,GarageCars,GarageArea,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,MiscVal,MoSold,YrSold,pred_price
510,511,20,14559,5,7,1951,2000,650,180,178,1008,1363,0,0,1363,1,0,1,0,2,1,6,2,1,288,324,42,0,0,168,0,2000,6,2009,160000.0
679,680,20,9945,5,5,1961,1961,827,0,161,988,988,0,0,988,1,0,1,0,3,1,5,0,2,572,0,0,0,0,0,0,0,10,2007,134900.0
493,494,20,7931,5,6,1960,1960,374,532,363,1269,1269,0,0,1269,0,0,1,1,3,1,6,1,1,308,0,0,0,0,0,0,0,6,2008,134000.0
1276,1277,60,12936,6,6,1972,1972,593,0,130,723,735,660,0,1395,0,1,1,1,3,1,6,1,2,497,294,116,0,0,0,0,0,12,2009,159500.0
714,715,60,13517,6,8,1976,2005,533,0,192,725,725,754,0,1479,0,0,2,1,3,1,6,0,2,475,0,44,0,0,0,0,0,3,2010,184000.0
515,516,20,12220,10,5,2009,2009,1436,0,570,2006,2020,0,0,2020,1,0,2,1,3,1,9,1,3,900,156,54,0,0,0,0,0,9,2009,315000.0
449,450,50,6000,3,7,1948,2002,331,0,318,649,679,504,0,1183,0,0,1,1,2,1,6,0,1,308,0,176,0,0,0,0,0,6,2007,91000.0
883,884,75,6204,4,5,1912,1950,0,0,795,795,954,795,481,2230,1,0,1,0,5,1,10,0,1,440,0,188,0,0,0,0,0,3,2006,103000.0
992,993,60,9760,6,8,1964,1993,536,117,169,822,1020,831,0,1851,0,0,2,1,3,1,7,1,2,440,239,42,0,0,0,0,0,7,2007,165000.0
436,437,50,4400,6,8,1920,1950,0,0,648,648,734,384,0,1118,0,0,1,0,2,1,6,0,2,440,0,0,0,0,0,0,0,10,2006,120500.0
433,434,60,10839,6,5,1997,1998,0,0,926,926,926,678,0,1604,0,0,2,1,3,1,7,1,2,470,0,36,0,0,0,0,0,7,2008,178000.0
592,593,20,6600,5,8,1982,2003,816,0,0,816,816,0,0,816,1,0,1,0,2,1,4,0,2,816,0,0,0,0,0,0,0,6,2008,129500.0
786,787,50,10800,5,6,1915,1950,686,0,0,686,966,686,0,1652,1,0,2,0,4,1,7,0,1,416,0,0,196,0,0,0,1200,6,2010,124000.0
24,25,20,8246,5,8,1968,2001,188,668,204,1060,1060,0,0,1060,1,0,1,0,3,1,6,1,1,270,406,90,0,0,0,0,0,5,2010,179900.0
886,887,90,8393,5,5,1959,2005,528,0,1098,1626,1712,0,0,1712,0,0,2,0,4,2,8,0,2,588,272,54,0,0,0,0,0,6,2006,110000.0
1119,1120,20,7560,5,5,1959,1959,369,0,671,1040,1040,0,0,1040,0,0,1,0,3,1,6,0,1,286,140,0,252,0,0,0,0,7,2006,154300.0
565,566,70,6858,6,4,1915,1950,0,0,806,806,841,806,0,1647,1,0,1,1,4,1,6,0,1,216,0,66,136,0,0,0,0,5,2010,104000.0
836,837,30,8100,5,6,1948,1973,338,0,1221,1559,1559,0,0,1559,1,0,1,0,2,1,5,0,2,812,0,116,230,0,0,0,0,6,2007,110000.0
1397,1398,70,6120,5,8,1920,2004,0,0,939,939,939,574,0,1513,0,0,1,1,4,1,8,0,1,180,24,0,150,0,0,0,0,5,2007,136000.0
761,762,30,6911,5,5,1924,1950,405,0,740,1145,1301,0,0,1301,0,0,1,0,2,1,5,0,2,440,0,0,0,0,0,0,0,10,2009,154300.0
170,171,50,12358,5,6,1941,1950,360,0,360,720,854,0,528,1382,0,0,1,1,2,1,7,0,2,660,237,0,0,0,0,0,0,5,2007,129000.0
1360,1361,70,9842,5,6,1921,1998,0,0,612,612,990,1611,0,2601,0,0,3,1,4,1,8,0,2,621,183,0,301,0,0,0,0,5,2008,140000.0
609,610,20,7943,4,5,1961,1961,903,0,126,1029,1029,0,0,1029,1,0,1,0,3,1,5,0,1,261,64,0,39,0,0,0,0,4,2007,107500.0
1190,1191,190,32463,4,4,1961,1975,1159,0,90,1249,1622,0,0,1622,1,0,1,0,3,1,7,1,4,1356,439,0,0,0,0,0,0,3,2007,141000.0
1008,1009,20,12118,7,5,2004,2005,0,0,1710,1710,1710,0,0,1710,0,0,2,0,3,1,7,1,2,550,100,48,0,0,180,0,0,4,2009,201000.0
607,608,20,7800,5,8,1948,2002,603,0,293,896,1112,896,0,2008,1,0,3,0,3,1,8,0,1,230,103,0,0,0,0,0,0,8,2006,140000.0
864,865,20,8640,7,5,2007,2008,0,0,1372,1372,1372,0,0,1372,0,0,2,0,3,1,6,0,2,529,0,140,0,0,0,0,0,5,2008,227680.0
477,478,60,13693,9,5,2006,2006,0,0,2153,2153,2069,574,0,2643,0,0,2,1,3,1,9,1,3,694,414,84,0,0,0,0,0,3,2007,378500.0
218,219,50,15660,7,9,1939,2006,341,0,457,798,1137,817,0,1954,0,1,1,1,3,1,8,2,2,431,0,119,150,0,0,0,0,5,2008,201800.0
1284,1285,50,9638,6,7,1919,1990,0,0,804,804,1699,748,0,2447,0,0,2,0,4,1,10,1,1,336,272,0,42,0,116,0,0,3,2010,164000.0
636,637,30,6120,2,3,1936,1950,0,0,264,264,800,0,0,800,0,0,1,0,1,1,4,1,0,0,0,0,0,0,0,0,0,1,2009,52000.0
674,675,20,9200,6,6,1965,1965,892,0,244,1136,1136,0,0,1136,1,0,1,0,3,1,5,1,1,384,426,0,0,0,0,0,0,7,2008,145000.0
1347,1348,20,15306,8,5,2006,2007,80,0,1652,1732,1776,0,0,1776,1,0,2,0,3,1,7,1,3,712,0,0,0,0,0,0,0,5,2007,239000.0
603,604,160,3182,7,5,2004,2005,0,0,600,600,600,600,0,1200,0,0,2,1,2,1,4,0,2,480,0,172,0,0,0,0,0,6,2010,148800.0
152,153,60,14803,6,5,1971,1971,416,0,409,825,1097,896,0,1993,0,0,2,1,4,1,8,1,2,495,0,66,0,0,0,0,0,6,2006,214500.0
993,994,60,8846,6,5,2005,2006,0,0,750,750,750,750,0,1500,0,0,2,1,3,1,6,0,2,564,0,35,0,0,0,0,0,8,2006,168000.0
596,597,70,3600,6,7,1910,1993,0,0,684,684,684,684,0,1368,0,0,1,0,3,1,7,0,1,216,0,158,0,0,0,0,0,10,2006,118000.0
460,461,60,8004,8,5,2009,2009,544,0,288,832,832,1103,0,1935,1,0,2,1,3,1,8,0,2,552,0,150,0,0,0,0,0,12,2009,237000.0
25,26,20,14230,8,5,2007,2007,0,0,1566,1566,1600,0,0,1600,0,0,2,0,3,1,7,1,3,890,0,56,0,0,0,0,0,7,2009,244600.0
1335,1336,20,9650,6,5,1977,1977,686,0,664,1350,1334,0,0,1334,0,1,2,0,2,1,6,1,2,630,0,16,0,0,0,0,0,4,2009,165000.0
141,142,20,11645,7,5,2005,2005,1300,0,434,1734,1734,0,0,1734,1,0,2,0,3,1,7,0,2,660,160,24,0,0,0,0,0,1,2006,289000.0
1271,1272,20,9156,6,7,1968,1968,0,0,1489,1489,1489,0,0,1489,0,0,2,0,3,1,7,1,2,462,0,0,0,0,0,0,0,8,2009,185000.0
1268,1269,50,14100,8,9,1935,1997,192,0,536,728,1968,1479,0,3447,0,0,3,1,4,1,11,2,3,1014,314,12,0,0,0,0,0,5,2008,305900.0
1234,1235,70,8525,5,6,1911,1950,0,0,940,940,1024,940,0,1964,0,0,1,1,4,1,7,0,0,0,0,192,0,0,0,0,0,11,2008,107500.0
318,319,60,9900,7,5,1993,1993,987,0,360,1347,1372,1274,0,2646,1,0,2,1,4,1,9,1,3,656,340,60,144,0,0,0,0,4,2009,335000.0
662,663,20,13560,6,3,1968,1968,0,0,1392,1392,1392,0,0,1392,1,0,1,0,2,1,5,2,2,576,0,0,240,0,0,0,0,7,2009,165000.0
1296,1297,20,8700,5,6,1963,1963,776,0,344,1120,1128,0,0,1128,1,0,2,0,3,1,6,0,2,525,192,20,123,0,0,0,0,12,2008,129000.0
583,584,75,13500,10,9,1893,2000,0,0,1237,1237,1521,1254,0,2775,0,0,3,1,3,1,9,1,2,880,105,502,0,0,0,0,0,7,2008,412500.0
1264,1265,120,4060,6,5,1998,1999,266,0,1139,1405,1337,0,0,1337,1,0,2,0,2,1,5,0,2,511,144,68,0,0,0,0,0,8,2008,176000.0
783,784,85,9101,5,6,1978,1978,1097,0,0,1097,1110,0,0,1110,1,0,1,0,1,1,4,1,2,602,303,30,0,0,0,0,0,7,2009,164500.0
165,166,190,10106,5,7,1940,1999,351,181,112,644,808,547,0,1355,1,0,2,0,4,2,6,0,0,0,140,0,0,0,0,0,0,9,2008,119000.0
1080,1081,20,11040,6,7,1971,2004,656,0,602,1258,1258,0,0,1258,0,1,2,0,3,1,5,0,2,528,55,0,0,216,0,0,0,10,2008,158000.0
118,119,60,12376,7,5,1990,1990,1470,0,203,1673,1699,1523,0,3222,1,0,3,0,5,1,11,2,3,594,367,0,0,0,0,0,0,5,2010,219500.0
1128,1129,60,11796,7,5,2004,2005,0,0,847,847,847,1112,0,1959,0,0,2,1,4,1,8,1,2,434,100,48,0,0,0,0,0,7,2007,195000.0
820,821,60,7226,7,5,2003,2003,0,0,798,798,798,842,0,1640,0,0,2,1,3,1,6,0,2,595,0,45,0,0,0,0,0,6,2008,140000.0
1288,1289,120,5664,8,5,2000,2000,1158,0,343,1501,1659,0,0,1659,1,0,2,0,2,1,5,1,2,499,212,59,0,0,0,0,0,10,2009,270000.0
832,833,60,9548,7,6,2003,2003,483,0,458,941,941,888,0,1829,1,0,2,1,3,1,7,1,2,613,192,39,0,0,0,0,0,1,2010,174000.0
946,947,80,8163,5,6,1959,1959,748,294,102,1144,1144,0,0,1144,1,0,1,0,3,1,6,1,1,796,86,0,0,0,0,0,0,3,2006,134000.0
650,651,60,8125,7,6,2007,2007,0,0,813,813,822,843,0,1665,0,0,2,1,3,1,7,0,2,562,0,0,0,0,0,0,0,5,2008,174000.0
193,194,160,2522,7,5,2004,2004,0,0,970,970,970,739,0,1709,0,0,2,0,3,1,7,0,2,380,0,40,0,0,0,0,0,5,2006,130000.0
1447,1448,60,10000,8,5,1995,1996,1079,0,141,1220,1220,870,0,2090,1,0,2,1,3,1,8,1,2,556,0,65,0,0,0,0,0,12,2007,228500.0
105,106,60,9375,8,5,2003,2004,0,0,1053,1053,1053,939,0,1992,0,0,2,1,3,1,9,1,2,648,140,45,0,0,0,0,0,8,2008,255900.0
188,189,90,7018,5,5,1979,1979,1086,0,0,1086,1224,0,0,1224,2,0,0,2,2,2,6,2,2,528,120,0,0,0,0,0,0,6,2009,134000.0
236,237,20,8773,7,5,2004,2004,24,0,1390,1414,1414,0,0,1414,0,0,2,0,3,1,6,0,2,494,132,105,0,0,0,0,0,5,2010,179600.0
365,366,70,10690,5,7,1920,1997,456,0,216,672,672,672,0,1344,0,0,1,0,3,1,6,0,1,468,0,128,218,0,0,0,0,7,2009,120500.0
30,31,70,8500,4,4,1920,1950,0,0,649,649,649,668,0,1317,0,0,1,0,3,1,6,0,1,250,0,54,172,0,0,0,0,7,2008,68500.0
1323,1324,30,5330,4,7,1940,1950,280,0,140,420,708,0,0,708,0,0,1,0,2,1,5,0,0,0,164,0,0,0,0,0,0,12,2009,88000.0
23,24,120,4224,5,7,1976,1976,840,0,200,1040,1060,0,0,1060,1,0,1,0,3,1,6,1,2,572,100,110,0,0,0,0,0,6,2007,179900.0
591,592,60,13478,10,5,2008,2008,1338,0,384,1722,1728,568,0,2296,1,0,2,1,3,1,10,1,3,842,382,274,0,0,0,0,0,6,2009,426000.0
1318,1319,20,14781,8,5,2001,2002,0,0,1753,1753,1787,0,0,1787,0,0,2,0,3,1,7,1,3,748,198,150,0,0,0,0,0,8,2006,239000.0
688,689,20,8089,8,6,2007,2007,945,0,474,1419,1419,0,0,1419,1,0,2,0,2,1,7,1,2,567,140,0,0,0,0,0,0,10,2007,201000.0
1142,1143,60,9965,8,5,2006,2007,1150,0,316,1466,1466,1362,0,2828,1,0,3,0,4,1,11,1,3,1052,125,144,0,0,0,0,0,4,2007,354000.0
750,751,50,8800,4,7,1910,2004,0,0,576,576,792,348,0,1140,0,0,1,0,3,1,7,0,0,0,0,160,0,0,0,0,0,6,2010,135000.0
1365,1366,60,7500,7,5,2000,2000,533,0,281,814,814,860,0,1674,1,0,2,1,3,1,7,0,2,663,0,96,0,0,0,0,0,1,2010,226700.0
1377,1378,50,10998,5,5,1941,1960,408,420,156,984,984,620,0,1604,0,0,2,0,3,1,6,0,2,660,0,68,0,0,0,0,0,7,2009,102000.0
212,213,60,8640,7,5,2009,2009,822,0,78,900,932,920,0,1852,1,0,2,1,3,1,7,1,2,644,168,108,0,0,0,0,0,7,2009,213500.0
423,424,60,9200,8,5,1998,1998,986,0,484,1470,1470,1160,0,2630,1,0,2,1,4,1,8,1,3,696,0,66,0,0,0,0,0,6,2008,336000.0
103,104,20,10402,7,5,2009,2009,0,0,1226,1226,1226,0,0,1226,0,0,2,0,3,1,6,0,3,740,0,36,0,0,0,0,0,5,2010,208300.0
1178,1179,50,7681,5,6,1921,1950,0,0,731,731,820,523,0,1343,0,0,1,1,3,1,7,1,1,186,192,0,102,0,0,0,0,7,2009,116000.0
1212,1213,30,9340,4,6,1941,1950,344,0,328,672,672,0,0,672,1,0,1,0,2,1,4,0,1,234,0,113,0,0,0,0,0,8,2009,80000.0
1173,1174,50,18030,5,6,1946,1994,152,469,977,1598,1636,971,479,3086,0,0,3,0,3,1,12,1,0,0,122,0,0,0,0,0,0,3,2007,180000.0
1326,1327,30,4270,3,6,1931,2006,544,0,0,544,774,0,0,774,0,0,1,0,3,1,6,0,0,0,0,0,286,0,0,0,0,5,2007,67000.0
1024,1025,20,15498,8,6,1976,1976,1165,400,0,1565,2898,0,0,2898,1,0,2,0,2,1,10,1,2,665,0,72,174,0,0,0,0,5,2008,423000.0
458,459,70,5100,8,7,1925,1996,0,0,588,588,833,833,0,1666,0,0,1,0,3,1,7,1,1,228,192,63,0,0,0,0,0,6,2008,215000.0
1014,1015,20,11664,6,5,1948,1950,336,0,746,1082,1082,0,0,1082,0,0,1,0,2,1,5,1,1,240,0,130,0,0,0,0,0,11,2007,76000.0
464,465,20,8430,5,5,1978,1978,616,0,424,1040,1040,0,0,1040,0,0,2,0,3,1,5,0,0,0,0,0,0,0,0,0,0,8,2009,157000.0
1285,1286,50,6000,6,6,1939,1950,0,0,780,780,825,587,0,1412,0,0,1,0,4,1,6,1,1,280,45,0,0,0,0,0,0,5,2009,135000.0
33,34,20,10552,5,5,1959,1959,1018,0,380,1398,1700,0,0,1700,0,1,1,1,4,1,6,1,2,447,0,38,0,0,0,0,0,4,2010,171000.0
12,13,20,12968,5,6,1962,1962,737,0,175,912,912,0,0,912,1,0,1,0,2,1,4,0,1,352,140,0,0,0,176,0,0,9,2008,119500.0
796,797,20,8197,6,5,1977,1977,0,0,660,660,1285,0,0,1285,0,0,1,1,3,1,7,1,2,528,138,0,0,0,0,0,0,4,2007,140000.0
124,125,20,17043,6,5,1979,1998,0,0,1362,1362,1586,0,0,1586,0,0,2,0,3,1,7,1,2,435,192,0,0,0,0,0,0,1,2009,184000.0
719,720,20,9920,5,6,1969,1969,523,0,448,971,971,0,0,971,0,0,1,1,3,1,5,1,1,300,0,0,0,0,0,0,0,5,2006,137000.0
826,827,45,6130,5,6,1924,1950,784,0,0,784,784,0,0,784,1,0,1,0,2,1,5,0,0,0,0,0,116,0,0,0,0,5,2008,88000.0
228,229,20,8521,5,5,1967,1967,842,0,70,912,912,0,0,912,0,0,1,0,3,1,5,1,1,336,0,0,0,0,0,0,0,5,2010,129000.0
963,964,20,11923,9,5,2007,2007,0,0,1800,1800,1800,0,0,1800,0,0,2,0,2,1,7,0,2,702,288,136,0,0,0,0,0,5,2009,318061.0
139,140,60,15426,6,5,1997,1997,821,0,107,928,928,836,0,1764,1,0,2,1,3,1,7,0,2,470,276,99,0,0,0,0,0,8,2009,192500.0
1263,1264,70,13515,6,6,1919,1950,0,0,764,764,1060,764,0,1824,0,0,1,0,3,1,8,1,2,520,0,0,126,0,0,0,0,7,2007,177000.0
773,774,20,10150,5,5,1958,1958,456,0,456,912,912,0,0,912,0,0,1,0,2,1,5,0,1,275,0,0,0,0,0,0,0,7,2007,122000.0
1141,1142,60,10304,5,7,1976,1976,381,0,399,780,1088,780,0,1868,1,0,2,1,4,1,9,1,2,484,448,96,0,0,0,0,0,10,2009,179500.0
1090,1091,90,8544,3,4,1950,1950,0,0,0,0,1040,0,0,1040,0,0,2,0,2,2,6,0,2,400,0,0,0,0,0,0,0,6,2009,87500.0
294,295,20,9600,6,5,1953,1953,1285,0,131,1416,1644,0,0,1644,1,0,1,0,3,1,7,2,2,418,110,0,0,0,0,0,0,10,2009,153000.0
973,974,20,11639,7,5,2007,2008,0,0,1428,1428,1428,0,0,1428,0,0,2,0,3,1,6,0,2,480,0,120,0,0,0,0,0,12,2008,227680.0
1105,1106,60,12256,8,5,1994,1995,1032,0,431,1463,1500,1122,0,2622,1,0,2,1,3,1,9,2,2,712,186,32,0,0,0,0,0,4,2010,345000.0
1451,1452,20,9262,8,5,2008,2009,0,0,1573,1573,1578,0,0,1578,0,0,2,0,3,1,7,1,3,840,0,36,0,0,0,0,0,5,2009,235128.0
976,977,30,5900,4,7,1923,1958,0,0,440,440,869,0,0,869,0,0,1,0,2,1,4,0,0,0,0,0,0,0,0,0,0,8,2006,128000.0
1125,1126,20,10434,4,5,1955,1955,0,0,1005,1005,1005,0,0,1005,0,0,1,0,2,1,5,1,2,672,0,0,0,0,0,0,0,11,2009,112000.0
434,435,180,1890,4,7,1972,1972,495,0,135,630,630,0,0,630,1,0,1,0,1,1,3,0,0,0,88,0,0,0,0,0,0,6,2008,84500.0
1413,1414,20,10994,8,5,2005,2006,976,0,868,1844,1844,0,0,1844,1,0,2,0,2,1,7,1,2,620,165,44,0,0,0,0,0,9,2009,284000.0
156,157,20,7200,5,7,1950,1950,0,0,0,0,1040,0,0,1040,0,0,1,0,2,1,5,0,2,625,0,0,0,0,0,0,0,6,2006,101000.0
869,870,60,9938,7,5,1993,1994,750,0,300,1050,1062,887,0,1949,1,0,2,1,3,1,8,1,2,574,156,90,0,0,0,0,0,6,2010,230000.0
1057,1058,60,29959,7,6,1994,1994,595,0,378,973,979,871,0,1850,0,0,2,1,3,1,7,1,2,467,168,98,0,0,0,0,0,1,2009,187500.0
788,789,20,6000,4,7,1954,2000,0,0,901,901,901,0,0,901,0,0,1,0,2,1,4,0,1,281,0,0,0,0,0,0,0,8,2008,120500.0
485,486,20,9600,5,7,1950,2007,607,0,506,1113,1113,0,0,1113,0,0,1,0,3,1,5,1,1,264,0,80,120,0,0,0,0,7,2009,162000.0
901,902,20,8712,5,7,1957,2000,860,0,132,992,1306,0,0,1306,1,0,1,0,2,1,5,0,1,756,0,0,0,0,0,0,0,5,2009,145000.0
1140,1141,20,7350,5,7,1951,1951,852,0,100,952,952,0,0,952,1,0,1,0,2,1,4,0,2,840,0,0,0,0,0,0,0,6,2008,140000.0
400,401,120,14963,8,5,1996,1996,786,0,474,1260,1288,0,0,1288,1,0,1,1,1,1,4,2,2,500,120,30,0,0,224,0,0,12,2008,220000.0
1032,1033,60,14541,8,7,1993,1993,1012,0,326,1338,1352,1168,0,2520,1,0,2,1,5,1,10,1,3,796,209,55,0,0,0,0,0,11,2006,305000.0
866,867,20,10656,8,5,2006,2007,0,0,1638,1638,1646,0,0,1646,0,0,2,0,3,1,6,1,3,870,192,80,0,0,0,0,0,11,2007,255500.0
1143,1144,20,9000,5,3,1959,1959,288,0,718,1006,1006,0,0,1006,0,0,1,0,3,1,5,0,0,0,0,24,0,0,0,0,0,7,2008,119900.0
606,607,20,12464,5,5,1996,1996,732,0,308,1040,1040,0,0,1040,1,0,1,0,3,1,6,0,2,576,168,0,0,0,0,0,0,11,2009,157000.0
1305,1306,20,13173,9,5,2006,2007,1572,0,80,1652,1652,0,0,1652,1,0,2,0,2,1,6,2,2,840,404,102,0,0,0,0,0,11,2009,377500.0
918,919,60,13125,7,5,1991,1991,48,634,422,1104,912,1215,0,2127,1,0,2,1,4,1,8,1,3,833,72,192,224,0,0,0,0,11,2007,280000.0
781,782,60,7153,6,5,1992,1992,387,0,374,761,810,793,0,1603,0,0,2,1,3,1,7,0,2,484,0,124,0,0,0,0,0,7,2006,140000.0
101,102,60,9206,6,5,1985,1985,0,0,741,741,977,755,0,1732,0,0,2,1,3,1,7,1,2,476,192,46,0,0,0,0,0,6,2010,194500.0
1003,1004,90,11500,5,6,1976,1976,0,0,1680,1680,1680,0,0,1680,0,0,2,0,4,2,8,0,2,528,0,0,0,0,0,0,0,6,2007,147000.0
821,822,20,6000,4,4,1953,1953,0,0,936,936,936,0,0,936,0,0,1,0,2,1,4,0,2,576,0,32,112,0,0,0,0,2,2009,103000.0
765,766,20,14587,9,5,2008,2008,0,0,1498,1498,1506,0,0,1506,0,0,2,0,2,1,6,1,2,592,0,174,0,0,0,0,0,8,2008,266000.0
451,452,20,70761,7,5,1975,1975,655,0,878,1533,1533,0,0,1533,1,0,2,0,2,1,5,2,2,576,200,54,0,0,0,0,0,12,2006,215000.0
396,397,20,7200,5,5,1972,1972,777,0,117,894,894,0,0,894,0,0,1,0,2,1,6,0,2,600,215,0,0,0,0,0,0,9,2009,134900.0
87,88,160,3951,6,5,2009,2009,0,0,612,612,612,612,0,1224,0,0,2,1,2,1,4,0,2,528,0,234,0,0,0,0,0,6,2009,173733.0
211,212,20,10420,6,5,2009,2009,36,0,1176,1212,1212,0,0,1212,0,0,2,0,3,1,6,0,2,460,100,22,0,0,0,0,0,3,2010,208300.0
1304,1305,160,3363,7,5,2004,2004,0,0,976,976,976,732,0,1708,0,0,2,0,3,1,7,0,2,380,0,40,0,0,0,0,0,4,2006,137500.0
14,15,20,10920,6,5,1960,1960,733,0,520,1253,1253,0,0,1253,1,0,1,1,2,1,5,1,1,352,0,213,176,0,0,0,0,5,2008,145250.0
847,848,20,15523,5,6,1972,1972,460,0,404,864,864,0,0,864,1,0,1,0,3,1,5,1,1,338,0,0,0,0,0,0,0,8,2009,131400.0
117,118,20,8536,5,5,2006,2007,0,0,1125,1125,1125,0,0,1125,0,0,1,1,2,1,5,0,2,430,80,64,0,0,0,0,0,4,2007,145000.0
210,211,30,5604,5,6,1925,1950,468,0,396,864,864,0,0,864,1,0,1,0,2,1,5,0,0,0,0,0,96,0,0,0,0,4,2008,88000.0
257,258,20,8814,7,5,2006,2006,1334,0,270,1604,1604,0,0,1604,1,0,2,1,3,1,8,1,2,660,123,110,0,0,0,0,0,3,2009,208900.0
873,874,40,12144,5,7,1949,1950,375,0,457,832,1036,0,232,1268,0,0,1,0,3,1,6,1,1,288,0,28,0,0,0,0,0,9,2009,119000.0
686,687,60,10207,7,6,2007,2007,0,0,874,874,874,887,0,1761,0,0,3,0,3,1,7,0,2,578,144,105,0,0,0,0,0,8,2007,197000.0
709,710,20,7162,5,7,1966,1966,0,0,876,876,904,0,0,904,0,0,1,0,3,1,6,0,1,408,0,0,0,0,0,0,0,12,2008,107500.0
495,496,30,7879,4,5,1920,1950,495,0,225,720,720,0,0,720,0,0,1,0,2,1,4,0,0,0,0,523,115,0,0,0,0,11,2009,100000.0
1036,1037,20,12898,9,5,2007,2008,1022,0,598,1620,1620,0,0,1620,1,0,2,0,2,1,6,1,3,912,228,0,0,0,0,0,0,9,2009,285000.0
447,448,60,11214,7,5,1998,1999,0,0,930,930,956,930,0,1886,0,0,2,1,4,1,10,1,2,431,89,0,0,0,0,0,0,7,2006,122000.0
891,892,60,11184,6,5,1978,1978,226,500,192,918,918,765,0,1683,0,0,2,1,3,1,7,1,2,440,243,0,0,0,0,0,0,7,2009,175000.0
1049,1050,20,11100,4,7,1946,2006,0,0,0,0,930,0,0,930,0,0,1,0,2,1,6,0,1,308,0,0,0,0,0,0,0,4,2010,112000.0
933,934,20,8487,7,5,2004,2004,20,0,1480,1500,1500,0,0,1500,0,0,2,0,3,1,6,0,2,570,192,36,0,0,0,0,0,8,2009,240000.0
254,255,20,8400,5,6,1957,1957,922,0,392,1314,1314,0,0,1314,1,0,1,0,3,1,5,0,1,294,250,0,0,0,0,0,0,6,2010,139000.0
595,596,20,11302,8,5,2005,2006,1422,0,392,1814,1826,0,0,1826,1,0,2,0,3,1,7,1,3,758,180,75,0,0,120,0,0,8,2006,307000.0
